sku_site,sku_catalogo,status_match,tipo_match,imagem_encontrada,produto_ja_existe_no_site,precisa_cadastrar,precisa_vincular_imagem,precisa_revisao_manual,observacao,site_name,site_catalog_type,current_image_url,catalog_image_url,catalog_files,catalog_source_labels,catalog_entries_count,catalog_safe_single_image,pdf_encontrado,fonte_validacao
895B,895B,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido 895B,CAIXA_FECHADA,produto_p16_img2.jpg,/imported-product-images-clean/895B.png,895B.png,895B,1,True,True,site+catalogo+pdf
A-05-TYPE-C,,grupo_d_revisao_manual,sem_match,False,True,False,False,True,SKU do site sem correspondencia segura no catalogo/imagens.,Carregador completo Tipo C,UNITARIO,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1775069154346-z3umy5.webp,,,,0,False,False,site
A-07,A-07,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido P2 A-07,CAIXA_FECHADA,produto_p14_img7.jpg,/imported-product-images-clean/A-07.png,A-07.png,A-07,1,True,True,site+catalogo+pdf
A-169,A-169,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido A-169,CAIXA_FECHADA,produto_p15_img5.jpg,/imported-product-images-clean/A-169.png,A-169.png,A-169,1,True,True,site+catalogo+pdf
A-2019,A-2019,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Rádio A-2019,CAIXA_FECHADA,produto_p11_img8.jpg,/imported-product-images-clean/A-2019.png,A-2019.png,A-2019,1,True,True,site+catalogo+pdf
A-286,A-286,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido A-286,CAIXA_FECHADA,produto_p18_img5.jpg,/imported-product-images-clean/A-286.png,A-286.png,A-286,1,True,True,site+catalogo+pdf
A-331,A-331,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido A-331,CAIXA_FECHADA,produto_p15_img7.jpg,/imported-product-images-clean/A-331.png,A-331.png,A-331,1,True,True,site+catalogo+pdf
A-388,A-388,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido A-388,CAIXA_FECHADA,produto_p16_img7.jpg,/imported-product-images-clean/A-388.png,A-388.png,A-388,1,True,True,site+catalogo+pdf
A-505,A-505,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido A-505,CAIXA_FECHADA,produto_p17_img8.jpg,/imported-product-images-clean/A-505.png,A-505.png,A-505,1,True,True,site+catalogo+pdf
A-607,A-607,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido Gamer A-607,CAIXA_FECHADA,produto_p15_img6.jpg,/imported-product-images-clean/A-607.png,A-607.png,A-607,1,True,True,site+catalogo+pdf
A-607-A,A-607-A,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido Gamer RGB A-607 A,CAIXA_FECHADA,produto_p18_img1.jpg,/imported-product-images-clean/A-607_A款.png,A-607_A款.png,A-607 A款,1,True,True,site+catalogo+pdf
A-607-F9,A-607-F9,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido A-607 F9,CAIXA_FECHADA,produto_p17_img10.jpg,/imported-product-images-clean/A-607_F9款.png,A-607_F9款.png,A-607 F9款,1,True,True,site+catalogo+pdf
A-607-M10,A-607-M10,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido A-607 M10,CAIXA_FECHADA,produto_p14_img10.jpg,/imported-product-images-clean/A-607(M10).png,A-607(M10).png,A-607(M10),1,True,True,site+catalogo+pdf
A-607-MAX,A-607-MAX,grupo_b_vincular_imagem,exato,True,True,False,True,False,SKU identico no catalogo e no site.,Fone de Ouvido com Caixa de Som A-607 MAX,CAIXA_FECHADA,produto_p16_img1.jpg,/imported-product-images-clean/A-607_MAX.png,A-607_MAX.png,A-607 MAX,1,True,True,site+catalogo+pdf
