name,sku,description,category_slug,catalog_type,price_unit,price_box,stock_unit,stock_box,quantity_per_box,main_image,gallery_images,suggested_slug,ready_mode,requires_manual_fill,validation_image_ok,observacao
,AJ-3452,,,,,,0,0,,/imported-product-images-clean/AJ-3452.png,,aj-3452,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,AJ-3453,,,,,,0,0,,/imported-product-images-clean/AJ-3453.png,,aj-3453,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,AL-1010,,,,,,0,0,,/imported-product-images-clean/AL-1010.png,,al-1010,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,AL-2659,,,,,,0,0,,/imported-product-images-clean/AL-2659.png,,al-2659,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,AL-A155,,,,,,0,0,,/imported-product-images-clean/AL-A155.png,,al-a155,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,AL-A230,,,,,,0,0,,/imported-product-images-clean/AL-A230.png,,al-a230,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,AL-C223,,,,,,0,0,,/imported-product-images-clean/AL-C223.png,,al-c223,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,AL-D890,,,,,,0,0,,/imported-product-images-clean/AL-D890_C款.png,,al-d890,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,AL-S380,,,,,,0,0,,/imported-product-images-clean/AL-S380.png,,al-s380,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,AU-4U,,,,,,0,0,,/imported-product-images-clean/AU-4U.png,,au-4u,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,PN-951,,,,,,0,0,,/imported-product-images-clean/PN-951.png,,pn-951,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,PN-952,,,,,,0,0,,/imported-product-images-clean/PN-952.png,,pn-952,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,T10,,,,,,0,0,,/imported-product-images-clean/T10.png,,t10,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,T11,,,,,,0,0,,/imported-product-images-clean/T11.png,,t11,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,TX04,,,,,,0,0,,/imported-product-images-clean/TX04.png,,tx04,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
,ZQ-01,,,,,,0,0,,/imported-product-images-clean/ZQ-01.png,,zq-01,dry_run,True,True,SKU do catalogo nao encontrado no site publico.
