sku_site,site_name,tipo_match,current_image_url,new_image_url,catalog_files,catalog_source_labels,observacao
895B,Fone de Ouvido 895B,exato,produto_p16_img2.jpg,/imported-product-images-clean/895B.png,895B.png,895B,SKU identico no catalogo e no site.
A-07,Fone de Ouvido P2 A-07,exato,produto_p14_img7.jpg,/imported-product-images-clean/A-07.png,A-07.png,A-07,SKU identico no catalogo e no site.
A-169,Fone de Ouvido A-169,exato,produto_p15_img5.jpg,/imported-product-images-clean/A-169.png,A-169.png,A-169,SKU identico no catalogo e no site.
A-2019,Rádio A-2019,exato,produto_p11_img8.jpg,/imported-product-images-clean/A-2019.png,A-2019.png,A-2019,SKU identico no catalogo e no site.
A-286,Fone de Ouvido A-286,exato,produto_p18_img5.jpg,/imported-product-images-clean/A-286.png,A-286.png,A-286,SKU identico no catalogo e no site.
A-331,Fone de Ouvido A-331,exato,produto_p15_img7.jpg,/imported-product-images-clean/A-331.png,A-331.png,A-331,SKU identico no catalogo e no site.
A-388,Fone de Ouvido A-388,exato,produto_p16_img7.jpg,/imported-product-images-clean/A-388.png,A-388.png,A-388,SKU identico no catalogo e no site.
A-505,Fone de Ouvido A-505,exato,produto_p17_img8.jpg,/imported-product-images-clean/A-505.png,A-505.png,A-505,SKU identico no catalogo e no site.
A-607,Fone de Ouvido Gamer A-607,exato,produto_p15_img6.jpg,/imported-product-images-clean/A-607.png,A-607.png,A-607,SKU identico no catalogo e no site.
A-607-A,Fone de Ouvido Gamer RGB A-607 A,exato,produto_p18_img1.jpg,/imported-product-images-clean/A-607_A款.png,A-607_A款.png,A-607 A款,SKU identico no catalogo e no site.
A-607-F9,Fone de Ouvido A-607 F9,exato,produto_p17_img10.jpg,/imported-product-images-clean/A-607_F9款.png,A-607_F9款.png,A-607 F9款,SKU identico no catalogo e no site.
A-607-M10,Fone de Ouvido A-607 M10,exato,produto_p14_img10.jpg,/imported-product-images-clean/A-607(M10).png,A-607(M10).png,A-607(M10),SKU identico no catalogo e no site.
A-607-MAX,Fone de Ouvido com Caixa de Som A-607 MAX,exato,produto_p16_img1.jpg,/imported-product-images-clean/A-607_MAX.png,A-607_MAX.png,A-607 MAX,SKU identico no catalogo e no site.
A-607-P,Fone de Ouvido A-607 P,exato,produto_p16_img10.jpg,/imported-product-images-clean/A-607_P款.png,A-607_P款.png,A-607 P款,SKU identico no catalogo e no site.
A-607-T,Fone de Ouvido A-607 T,exato,produto_p15_img9.jpg,/imported-product-images-clean/A-607_T款.png,A-607_T款.png,A-607 T款,SKU identico no catalogo e no site.
A-607-W,Fone de Ouvido A-607 W com Powerbank,exato,produto_p2_img7.jpg,/imported-product-images-clean/A-607_W款.png,A-607_W款.png,A-607 W款,SKU identico no catalogo e no site.
A-607-X,Fone de Ouvido A-607 X,exato,produto_p15_img10.jpg,/imported-product-images-clean/A-607_X款.png,A-607_X款.png,A-607 X款,SKU identico no catalogo e no site.
A-607-Y,Fone de Ouvido A-607 Y,exato,produto_p2_img8.jpg,/imported-product-images-clean/A-607_Y款.png,A-607_Y款.png,A-607 Y款,SKU identico no catalogo e no site.
A-609,Fone de Ouvido A-609,exato,produto_p16_img5.jpg,/imported-product-images-clean/A-609.png,A-609.png,A-609,SKU identico no catalogo e no site.
A-686,Fone de Ouvido A-686,exato,produto_p17_img5.jpg,/imported-product-images-clean/A-686.png,A-686.png,A-686,SKU identico no catalogo e no site.
A-707,Fone de Ouvido Tipo IP A-707,exato,produto_p12_img8.jpg,/imported-product-images-clean/A-707.png,A-707.png,A-707,SKU identico no catalogo e no site.
A-708,Fone de Ouvido Silicone A-708,exato,produto_p13_img1.jpg,/imported-product-images-clean/A-708.png,A-708.png,A-708,SKU identico no catalogo e no site.
A-808-5G,Fone de Ouvido Tipo IP A-808-5G,exato,produto_p12_img7.jpg,/imported-product-images-clean/A-808-5G.png,A-808-5G.png,A-808-5G,SKU identico no catalogo e no site.
A-905-5G,Fone de Ouvido IP A-905-5G,exato,produto_p13_img6.jpg,/imported-product-images-clean/A-905-5G.png,A-905-5G.png,A-905-5G,SKU identico no catalogo e no site.
A-908,Fone de Ouvido P2 A-908,exato,produto_p13_img7.jpg,/imported-product-images-clean/A-908.png,A-908.png,A-908,SKU identico no catalogo e no site.
A-908-5G,Fone de Ouvido Tipo IP A-908-5G,exato,produto_p13_img8.jpg,/imported-product-images-clean/A-908-5G.png,A-908-5G.png,A-908-5G,SKU identico no catalogo e no site.
A-918-TY,Fone de Ouvido Tipo C A-918-TY,exato,produto_p12_img3.jpg,/imported-product-images-clean/A-918-TY.png,A-918-TY.png,A-918-TY,SKU identico no catalogo e no site.
A-FN06,Fone de Ouvido P2 A-FN06,exato,produto_p12_img4.jpg,/imported-product-images-clean/A-FN06.png,A-FN06.png,A-FN06,SKU identico no catalogo e no site.
A-P12,Ponteiro Laser A-P12,exato,produto_p7_img2.jpg,/imported-product-images-clean/A-P12.png,A-P12.png,A-P12,SKU identico no catalogo e no site.
A-W3,Fone de Ouvido A-W3,exato,produto_p18_img6.jpg,/imported-product-images-clean/A-W3.png,A-W3.png,A-W3,SKU identico no catalogo e no site.
AD-1088,Rádio BT Retrô 9 Bandas AD-1088,exato,produto_p10_img7.jpg,/imported-product-images-clean/AD-1088.png,AD-1088.png,AD-1088,SKU identico no catalogo e no site.
AD-137,Rádio Bluetooth AD-137,exato,produto_p11_img4.jpg,/imported-product-images-clean/AD-137.png,AD-137.png,AD-137,SKU identico no catalogo e no site.
AD-190,Rádio 3 Bandas AD-190,exato,produto_p11_img3.jpg,/imported-product-images-clean/AD-190.png,AD-190.png,AD-190,SKU identico no catalogo e no site.
AD-230,Rádio AD-230,exato,produto_p10_img5.jpg,/imported-product-images-clean/AD-230.png,AD-230.png,AD-230,SKU identico no catalogo e no site.
AD-231,Rádio AD-231,exato,produto_p10_img6.jpg,/imported-product-images-clean/AD-231.png,AD-231.png,AD-231,SKU identico no catalogo e no site.
AD-3088,Rádio Retro 3 Bandas AD-3088,exato,produto_p11_img1.jpg,/imported-product-images-clean/AD-3088.png,AD-3088.png,AD-3088,SKU identico no catalogo e no site.
AD-3099,Rádio Retro 3 Bandas AD-3099,exato,produto_p11_img2.jpg,/imported-product-images-clean/AD-3099.png,AD-3099.png,AD-3099,SKU identico no catalogo e no site.
AD-3188,Rádio Bluetooth AD-3188,exato,produto_p10_img8.jpg,/imported-product-images-clean/AD-3188.png,AD-3188.png,AD-3188,SKU identico no catalogo e no site.
AD-3199,Rádio BT Retrô 3 Bandas AD-3199,exato,produto_p10_img9.jpg,/imported-product-images-clean/AD-3199.png,AD-3199.png,AD-3199,SKU identico no catalogo e no site.
AD-520,Relógio Despertador AD-520,exato,produto_p11_img7.jpg,/imported-product-images-clean/AD-520.png,AD-520.png,AD-520,SKU identico no catalogo e no site.
AD-6080,Rádio 3 Bandas AD-6080,exato,produto_p10_img4.jpg,/imported-product-images-clean/AD-6080.png,AD-6080.png,AD-6080,SKU identico no catalogo e no site.
AD-8077,Rádio Bluetooth AD-8077,exato,produto_p11_img6.jpg,/imported-product-images-clean/AD-8077.png,AD-8077.png,AD-8077,SKU identico no catalogo e no site.
AD-8099,Rádio Bluetooth AD-8099,exato,produto_p11_img5.jpg,/imported-product-images-clean/AD-8099.png,AD-8099.png,AD-8099,SKU identico no catalogo e no site.
AD-8106,Rádio Bluetooth AD-8106,exato,produto_p10_img1.jpg,/imported-product-images-clean/AD-8106.png,AD-8106.png,AD-8106,SKU identico no catalogo e no site.
AD-8399,Rádio Bluetooth AD-8399,exato,produto_p9_img1.jpg,/imported-product-images-clean/AD-8399.png,AD-8399.png,AD-8399,SKU identico no catalogo e no site.
AD-8528,Rádio 3 Bandas AD-8528,exato,produto_p9_img2.jpg,/imported-product-images-clean/AD-8528.png,AD-8528.png,AD-8528,SKU identico no catalogo e no site.
AD-8529,Rádio 3 Bandas AD-8529,exato,produto_p9_img3.jpg,/imported-product-images-clean/AD-8529.png,AD-8529.png,AD-8529,SKU identico no catalogo e no site.
AG-690,Mouse Sem Fio AG-690,exato,produto_p3_img5.jpg,/imported-product-images-clean/AG-690_B款.png,AG-690_B款.png,AG-690 B款,SKU identico no catalogo e no site.
AL-036,Carregador e Bateria 360 AL-036,exato,produto_p7_img1.jpg,/imported-product-images-clean/AL-036.png,AL-036.png,AL-036,SKU identico no catalogo e no site.
AL-1050,Mini Laser EMB AL-1050,exato,produto_p4_img1.jpg,/imported-product-images-clean/AL-1050.png,AL-1050.png,AL-1050,SKU identico no catalogo e no site.
AL-15-TY,Fone de Ouvido Tipo C AL-15-TY,exato,produto_p13_img5.jpg,/imported-product-images-clean/AL-15-TY.png,AL-15-TY.png,AL-15-TY,SKU identico no catalogo e no site.
AL-2336,Aparador de Cabelo AL-2336,exato,produto_p4_img8.jpg,/imported-product-images-clean/AL-2336.png,AL-2336.png,AL-2336,SKU identico no catalogo e no site.
AL-2656,Display Digital AL-2656,exato,produto_p4_img2.jpg,/imported-product-images-clean/AL-2656.png,AL-2656.png,AL-2656,SKU identico no catalogo e no site.
AL-2667,Máquina de Cortar Cabelo AL-2667,exato,produto_p4_img6.jpg,/imported-product-images-clean/AL-2667.png,AL-2667.png,AL-2667,SKU identico no catalogo e no site.
AL-2669,Produto AL-2669,exato,produto_p8_img2.jpg,/imported-product-images-clean/AL-2669.png,AL-2669.png,AL-2669,SKU identico no catalogo e no site.
AL-2743,Rádio AL-2743,exato,produto_p2_img2.jpg,/imported-product-images-clean/AL-2743_B款.png,AL-2743_B款.png,AL-2743 B款,SKU identico no catalogo e no site.
AL-3699,Rádio Bluetooth RGB AL-3699,exato,produto_p10_img10.jpg,/imported-product-images-clean/AL-3699.png,AL-3699.png,AL-3699,SKU identico no catalogo e no site.
AL-3829,Caixa de Som AL-3829,exato,produto_p3_img4.jpg,/imported-product-images-clean/AL-3829.png,AL-3829.png,AL-3829,SKU identico no catalogo e no site.
AL-3916,Máquina de Barbear Dragão AL-3916,exato,produto_p4_img5.jpg,/imported-product-images-clean/AL-3916.png,AL-3916.png,AL-3916,SKU identico no catalogo e no site.
AL-3936,Aparador de Cabelo AL-3936,exato,produto_p4_img7.jpg,/imported-product-images-clean/AL-3936.png,AL-3936.png,AL-3936,SKU identico no catalogo e no site.
AL-5G,Fone P2 EMB AL-5G,exato,produto_p14_img8.jpg,/imported-product-images-clean/AL-5G.png,AL-5G.png,AL-5G,SKU identico no catalogo e no site.
AL-7A,Fone de Ouvido Silicone AL-7A,exato,produto_p13_img4.jpg,/imported-product-images-clean/AL-7A.png,AL-7A.png,AL-7A,SKU identico no catalogo e no site.
AL-8391,Caixa de Som 50W AL-8391,exato,produto_p3_img3.jpg,/imported-product-images-clean/AL-8391_B款.png,AL-8391_B款.png,AL-8391 B款,SKU identico no catalogo e no site.
AL-8816-TY,Fone de Ouvido AL-8816-TY,exato,produto_p12_img5.jpg,/imported-product-images-clean/AL-8816-TY.png,AL-8816-TY.png,AL-8816-TY,SKU identico no catalogo e no site.
AL-8817-5G,Fone de Ouvido AL-8817-5G,exato,produto_p12_img6.jpg,/imported-product-images-clean/AL-8817-5G.png,AL-8817-5G.png,AL-8817-5G,SKU identico no catalogo e no site.
AL-B5207,Lanterna LED AL-B5207,exato,produto_p5_img3.jpg,/imported-product-images-clean/AL-B5207.png,AL-B5207.png,AL-B5207,SKU identico no catalogo e no site.
AL-B7760,Isqueiro Elétrico AL-B7760,exato,produto_p5_img5.jpg,/imported-product-images-clean/AL-B7760.png,AL-B7760.png,AL-B7760,SKU identico no catalogo e no site.
AL-B9001,Lanterna Tática X900 AL-B9001,exato,produto_p5_img2.jpg,/imported-product-images-clean/AL-B9001.png,AL-B9001.png,AL-B9001,SKU identico no catalogo e no site.
AL-BB20,Display Digital AL-BB20,exato,produto_p4_img3.jpg,/imported-product-images-clean/AL-BB20.png,AL-BB20.png,AL-BB20,SKU identico no catalogo e no site.
AL-E13,Fone de Ouvido P2 AL-E13,exato,produto_p14_img1.jpg,/imported-product-images-clean/AL-E13.png,AL-E13.png,AL-E13,SKU identico no catalogo e no site.
AL-E16,Fone de Ouvido P2 AL-E16,exato,produto_p14_img2.jpg,/imported-product-images-clean/AL-E16.png,AL-E16.png,AL-E16,SKU identico no catalogo e no site.
AL-E17,Fone de Ouvido P2 AL-E17,exato,produto_p14_img3.jpg,/imported-product-images-clean/AL-E17.png,AL-E17.png,AL-E17,SKU identico no catalogo e no site.
AL-L50,Lanterna AL-L50,exato,produto_p5_img4.jpg,/imported-product-images-clean/AL-L50-灯.png,AL-L50-灯.png,AL-L50-灯,SKU identico no catalogo e no site.
AL-P9,Headset AL-P9,exato,produto_p3_img2.jpg,/imported-product-images-clean/AL-P9.png,AL-P9.png,AL-P9,SKU identico no catalogo e no site.
AL-T2,Fone de Ouvido P2 AL-T2,exato,produto_p13_img9.jpg,/imported-product-images-clean/AL-T2.png,AL-T2.png,AL-T2,SKU identico no catalogo e no site.
AL-T3,Fone de Ouvido P2 AL-T3,exato,produto_p13_img10.jpg,/imported-product-images-clean/AL-T3.png,AL-T3.png,AL-T3,SKU identico no catalogo e no site.
AL-X7,Fone de Ouvido Silicone AL-X7,exato,produto_p13_img3.jpg,/imported-product-images-clean/AL-X7.png,AL-X7.png,AL-X7,SKU identico no catalogo e no site.
AL-ZP33,Suporte para Celular AL-ZP33,exato,produto_p5_img8.jpg,/imported-product-images-clean/AL-ZP33.png,AL-ZP33.png,AL-ZP33,SKU identico no catalogo e no site.
C-231,Suporte para TV 32-55 C-231,exato,produto_p5_img6.jpg,/imported-product-images-clean/C-231.png,C-231.png,C-231,SKU identico no catalogo e no site.
C-233,Suporte para TV 14-42 C-233,exato,produto_p5_img7.jpg,/imported-product-images-clean/C-233.png,C-233.png,C-233,SKU identico no catalogo e no site.
F-070,Fone de Ouvido P2 F-070,exato,produto_p14_img6.jpg,/imported-product-images-clean/F-070.png,F-070.png,F-070,SKU identico no catalogo e no site.
G9S,Fone de Ouvido G9S,exato,produto_p17_img9.jpg,/imported-product-images-clean/G9S.png,G9S.png,G9S,SKU identico no catalogo e no site.
I11,Fone de Ouvido i11,exato,produto_p15_img2.jpg,/imported-product-images-clean/i11.png,i11.png,i11,SKU identico no catalogo e no site.
I12,Fone de Ouvido i12,exato,produto_p15_img1.jpg,/imported-product-images-clean/i12(马卡龙).png,i12(马卡龙).png,i12(马卡龙),SKU identico no catalogo e no site.
I7MINI,Fone de Ouvido i7mini,exato,produto_p15_img4.jpg,/imported-product-images-clean/i7mini.png,i7mini.png,i7mini,SKU identico no catalogo e no site.
I7S,Fone de Ouvido i7s,exato,produto_p15_img8.jpg,/imported-product-images-clean/i7s(马卡龙黑色).png,i7s(马卡龙黑色).png,i7s(马卡龙黑色）,SKU identico no catalogo e no site.
I9S,Fone de Ouvido i9s,exato,produto_p15_img3.jpg,/imported-product-images-clean/i9s.png,i9s.png,i9s,SKU identico no catalogo e no site.
J-60-A,Fone de Ouvido J-60 A,exato,produto_p18_img9.jpg,/imported-product-images-clean/J-60_A款.png,J-60_A款.png,J-60 A款,SKU identico no catalogo e no site.
J-60-AIR31,Fone de Ouvido J-60 AIR31,exato,produto_p18_img7.jpg,/imported-product-images-clean/J-60(AIR31).png,J-60(AIR31).png,J-60(AIR31),SKU identico no catalogo e no site.
J-60-AIR39,Fone de Ouvido J-60 AIR39,normalizado,produto_p18_img8.jpg,/imported-product-images-clean/J-60(AIR_39款).png,J-60(AIR_39款).png,J-60(AIR 39款）,Correspondencia deterministica por alias seguro.
J-60-D,Fone de Ouvido J-60 D,exato,produto_p18_img10.jpg,/imported-product-images-clean/J-60_D款.png,J-60_D款.png,J-60 D款,SKU identico no catalogo e no site.
J-60-G,Fone de Ouvido J-60 G,exato,produto_p16_img8.jpg,/imported-product-images-clean/J-60_G款.png,J-60_G款.png,J-60 G款,SKU identico no catalogo e no site.
J-60-L,Fone de Ouvido J-60 L,exato,produto_p19_img1.jpg,/imported-product-images-clean/J-60_L款.png,J-60_L款.png,J-60 L款,SKU identico no catalogo e no site.
J-60-P,Fone de Ouvido J-60 P,exato,produto_p17_img2.jpg,/imported-product-images-clean/J-60_P款.png,J-60_P款.png,J-60 P款,SKU identico no catalogo e no site.
