filename,sku_original,page,row,col,status
JD-107.png,JD-107,3,1,1,saved
AL-2743_B款.png,AL-2743 B款,3,1,2,saved
AD-3099.png,AD-3099,3,1,3,saved
i11.png,i11,3,2,1,saved
J-60_U款.png,J-60 U款,3,2,2,saved
A-607_Q款.png,A-607 Q款,3,2,3,saved
A-607_W款.png,A-607 W款,3,3,1,saved
A-607_Y款.png,A-607 Y款,3,3,2,saved
J-70_PRO_B款.png,J-70 PRO B款,3,3,3,saved
J-99_PRO.png,J-99 PRO,4,1,1,saved
AL-P9.png,AL-P9,4,1,2,saved
AL-8391_B款.png,AL-8391 B款,4,1,3,saved
AL-3829.png,AL-3829,4,2,1,saved
AG-690_B款.png,AG-690 B款,4,2,2,saved
AL-1010.png,AL-1010,4,2,3,saved
TX04.png,TX04,4,3,1,saved
AL-A230.png,AL-A230,4,3,2,saved
AL-A155.png,AL-A155,4,3,3,saved
AL-1050.png,AL-1050,5,1,1,saved
AL-2656.png,AL-2656,5,1,2,saved
AL-BB20.png,AL-BB20,5,1,3,saved
M-303.png,M-303,5,2,1,saved
AL-3916.png,AL-3916,5,2,2,saved
AL-2667.png,AL-2667,5,2,3,saved
AL-3936.png,AL-3936,5,3,1,saved
AL-2336.png,AL-2336,5,3,2,saved
PN-951.png,PN-951,5,3,3,saved
PN-952.png,PN-952,6,1,1,saved
AL-B9001.png,AL-B9001,6,1,2,saved
AL-B5207.png,AL-B5207,6,1,3,saved
AL-L50-灯.png,AL-L50-灯,6,2,1,saved
AL-B7760.png,AL-B7760,6,2,2,saved
C-231.png,C-231,6,2,3,saved
C-233.png,C-233,6,3,1,saved
AL-ZP33.png,AL-ZP33,6,3,2,saved
T10.png,T10,6,3,3,saved
T11.png,T11,7,1,1,saved
AJ-3452.png,AJ-3452,7,1,2,saved
AJ-3453.png,AJ-3453,7,1,3,saved
ZQ-01.png,ZQ-01,7,2,1,saved
AL-2659.png,AL-2659,7,2,2,saved
AL-S380.png,AL-S380,7,2,3,saved
AL-D890_C款.png,AL-D890 C款,7,3,1,saved
AL-C223.png,AL-C223,7,3,2,saved
AU-4U.png,AU-4U,7,3,3,saved
AL-036.png,AL-036,8,1,1,saved
A-P12.png,A-P12,8,1,2,saved
LYF-01.png,LYF-01,8,1,3,saved
LYF-02.png,LYF-02,8,2,1,saved
LYF-03.png,LYF-03,8,2,2,saved
LYF-05.png,LYF-05,8,2,3,saved
LYF-10.png,LYF-10,8,3,1,saved
LYF-14.png,LYF-14,8,3,2,saved
LYF-15.png,LYF-15,8,3,3,saved
LYF-20.png,LYF-20,9,1,1,saved
AL-2669.png,AL-2669,9,1,2,saved
AD-8399.png,AD-8399,10,1,1,saved
AD-8528.png,AD-8528,10,1,2,saved
AD-8529.png,AD-8529,10,1,3,saved
AD-8106.png,AD-8106,10,2,1,saved
JD-107.png,JD-107,10,2,2,duplicate_of_page_3
JD-108.png,JD-108,10,2,3,saved
AD-6080.png,AD-6080,10,3,1,saved
AD-230.png,AD-230,10,3,2,saved
AD-231.png,AD-231,10,3,3,saved
AD-1088.png,AD-1088,11,1,1,saved
AD-3188.png,AD-3188,11,1,2,saved
AD-3199.png,AD-3199,11,1,3,saved
AL-3699.png,AL-3699,11,2,1,saved
AD-3088.png,AD-3088,11,2,2,saved
AD-3099.png,AD-3099,11,2,3,duplicate_of_page_3
AD-190.png,AD-190,11,3,1,saved
AD-137.png,AD-137,11,3,2,saved
AD-8099.png,AD-8099,11,3,3,saved
AD-8077.png,AD-8077,12,1,1,saved
AD-520.png,AD-520,12,1,2,saved
A-2019.png,A-2019,12,1,3,saved
JD-30.png,JD-30,12,2,1,saved
JD-31.png,JD-31,12,2,2,saved
JD-32.png,JD-32,12,2,3,saved
JD-35.png,JD-35,12,3,1,saved
A-918-TY.png,A-918-TY,13,1,1,saved
A-FN06.png,A-FN06,13,1,2,saved
AL-8816-TY.png,AL-8816-TY,13,1,3,saved
AL-8817-5G.png,AL-8817-5G,13,2,1,saved
A-808-5G.png,A-808-5G,13,2,2,saved
A-707.png,A-707,13,2,3,saved
A-708.png,A-708,13,3,1,saved
S6蓝牙耳机.png,S6蓝牙耳机,13,3,2,saved
AL-X7.png,AL-X7,13,3,3,saved
AL-7A.png,AL-7A,14,1,1,saved
AL-15-TY.png,AL-15-TY,14,1,2,saved
A-905-5G.png,A-905-5G,14,1,3,saved
A-908.png,A-908,14,2,1,saved
A-908-5G.png,A-908-5G,14,2,2,saved
AL-T2.png,AL-T2,14,2,3,saved
AL-T3.png,AL-T3,14,3,1,saved
AL-E13.png,AL-E13,14,3,2,saved
AL-E16.png,AL-E16,14,3,3,saved
AL-E17.png,AL-E17,15,1,1,saved
F-060.png,F-060,15,1,2,saved
F-060黑白.png,F-060黑白,15,1,3,saved
F-070.png,F-070,15,2,1,saved
A-07.png,A-07,15,2,2,saved
AL-5G.png,AL-5G,15,2,3,saved
S20.png,S20,15,3,1,saved
