sku,in_pdf_text,in_image_pack,on_site,site_name
5V-1A,True,False,False,
895B,False,True,True,Fone de Ouvido 895B
A-07,True,True,True,Fone de Ouvido P2 A-07
A-169,True,True,True,Fone de Ouvido A-169
A-2019,True,True,True,Rádio A-2019
A-286,True,True,True,Fone de Ouvido A-286
A-331,True,True,True,Fone de Ouvido A-331
A-388,True,True,True,Fone de Ouvido A-388
A-505,True,True,True,Fone de Ouvido A-505
A-607,True,True,True,Fone de Ouvido Gamer A-607
A-607-A,False,True,True,Fone de Ouvido Gamer RGB A-607 A
A-607-F9,False,True,True,Fone de Ouvido A-607 F9
A-607-M10,False,True,True,Fone de Ouvido A-607 M10
A-607-MAX,False,True,True,Fone de Ouvido com Caixa de Som A-607 MAX
A-607-P,False,True,True,Fone de Ouvido A-607 P
A-607-Q,False,True,True,Fone de Ouvido A-607 Q
A-607-T,False,True,True,Fone de Ouvido A-607 T
A-607-W,False,True,True,Fone de Ouvido A-607 W com Powerbank
A-607-X,False,True,True,Fone de Ouvido A-607 X
A-607-Y,False,True,True,Fone de Ouvido A-607 Y
A-609,True,True,True,Fone de Ouvido A-609
A-686,True,True,True,Fone de Ouvido A-686
A-707,True,True,True,Fone de Ouvido Tipo IP A-707
A-708,True,True,True,Fone de Ouvido Silicone A-708
A-808-5G,True,True,True,Fone de Ouvido Tipo IP A-808-5G
A-905-5G,True,True,True,Fone de Ouvido IP A-905-5G
A-908,True,True,True,Fone de Ouvido P2 A-908
A-908-5G,True,True,True,Fone de Ouvido Tipo IP A-908-5G
A-918-TY,True,True,True,Fone de Ouvido Tipo C A-918-TY
A-FN06,True,True,True,Fone de Ouvido P2 A-FN06
A-P12,True,True,True,Ponteiro Laser A-P12
A-W3,True,True,True,Fone de Ouvido A-W3
AD-1088,True,True,True,Rádio BT Retrô 9 Bandas AD-1088
AD-137,True,True,True,Rádio Bluetooth AD-137
AD-190,True,True,True,Rádio 3 Bandas AD-190
AD-230,True,True,True,Rádio AD-230
AD-231,True,True,True,Rádio AD-231
AD-3088,True,True,True,Rádio Retro 3 Bandas AD-3088
AD-3099,True,True,True,Rádio Retro 3 Bandas AD-3099
AD-3188,True,True,True,Rádio Bluetooth AD-3188
AD-3199,True,True,True,Rádio BT Retrô 3 Bandas AD-3199
AD-520,True,True,True,Relógio Despertador AD-520
AD-6080,True,True,True,Rádio 3 Bandas AD-6080
AD-8077,True,True,True,Rádio Bluetooth AD-8077
AD-8099,True,True,True,Rádio Bluetooth AD-8099
AD-8106,True,True,True,Rádio Bluetooth AD-8106
AD-8399,True,True,True,Rádio Bluetooth AD-8399
AD-8528,True,True,True,Rádio 3 Bandas AD-8528
AD-8529,True,True,True,Rádio 3 Bandas AD-8529
AG-690,True,True,True,Mouse Sem Fio AG-690
AIR31,True,False,False,
AJ-3452,True,True,False,
AJ-3453,True,True,False,
AL-036,True,True,True,Carregador e Bateria 360 AL-036
AL-1010,True,True,False,
AL-1050,True,True,True,Mini Laser EMB AL-1050
AL-15-TY,True,True,True,Fone de Ouvido Tipo C AL-15-TY
AL-2336,True,True,True,Aparador de Cabelo AL-2336
AL-2656,True,True,True,Display Digital AL-2656
AL-2659,True,True,False,
AL-2667,True,True,True,Máquina de Cortar Cabelo AL-2667
AL-2669,True,True,True,Produto AL-2669
AL-2743,True,True,True,Rádio AL-2743
AL-3699,True,True,True,Rádio Bluetooth RGB AL-3699
AL-3829,True,True,True,Caixa de Som AL-3829
